"Berzeliite","NaCa_2_Mg_2_(AsO_4_)_3_","","",""
"Betekhtinite","(Cu,Fe)_21_Pb_2_S_15_","","",""
"Betpakdalite-CaCa","MgCa_2_Fe^3+^_3_Mo_8_(AsO_4_)_2_O_28_(OH)·23H_2_O","","",""
"Beudantite","PbFe^3+^_3_(AsO_4_)(SO_4_)(OH)_6_","","",""
"Beusite","Mn^2+^Fe^2+^_2_(PO_4_)_2_","","",""
"Beyerite","CaBi_2_O_2_(CO_3_)_2_","","",""
"Bezsmertnovite","(Au,Ag)_4_Cu(Te,Pb)","","",""
"Bianchite","ZnSO_4_·6H_2_O","","",""
"Bicchulite","Ca_2_Al_2_SiO_6_(OH)_2_","","",""
"Bideauxite","AgPb_2_F_2_Cl_3_","","",""
"Bieberite","CoSO_4_·7H_2_O","","",""
"Bigcreekite","BaSi_2_O_5_·4H_2_O","","",""
"Bijvoetite-(Y)","Y_8_(UO_2_)_16_O_8_(CO_3_)_16_(OH)_8_·39H_2_O","","",""
"Bikitaite","LiAlSi_2_O_6_·H_2_O","","",""
"Bilibinskite","Au_3_Cu_2_Pb·nTeO_2_","","",""
"Bilinite","Fe^2+^Fe^3+^_2_(SO_4_)_4_·22H_2_O","","",""
"Billietite","Ba(UO_2_)_6_O_4_(OH)_6_·8H_2_O","","",""
"Billingsleyite","Ag_7_AsS_6_","","",""
"Biphosphammite","H_2_(NH_4_)PO_4_","","",""
"Biringuccite","Na_2_B_5_O_8_(OH)·H_2_O","","",""
"Birnessite","(Na,Ca,K)_0.6_(Mn^4+^,Mn^3+^)_2_O_4_·1.5H_2_O","","",""
"Bischofite","MgCl_2_·6H_2_O","","",""
"Bismite","Bi_2_O_3_","","",""
"Bismoclite","BiOCl","","",""
"Bismuth","Bi","","",""
"Bismuthinite","Bi_2_S_3_","","",""
"Bismutite","Bi_2_O_2_(CO_3_)","","",""
"Bismutocolumbite","BiNbO_4_","","",""
"Bismutoferrite","Fe^3+^_2_Bi(SiO_4_)_2_(OH)","","",""
"Bismutohauchecornite","Ni_9_Bi_2_S_8_","","",""
"Bismutotantalite","BiTaO_4_","","",""
"Bityite","CaLiAl_2_(Si_2_BeAl)O_10_(OH)_2_","","",""
"Bixbyite","Mn^3+^_2_O_3_","","",""
"Bjarebyite","BaMn^2+^_2_Al_2_(PO_4_)_3_(OH)_3_","","",""
"Blatonite","UO_2_CO_3_·H_2_O","","",""
"Blatterite","Sb^5+^_3_Mn^3+^_9_Mn^2+^_35_(BO_3_)_16_O_32_","","",""
"Bleasdaleite","Ca_2_Cu_5_(Bi,Cu)(PO_4_)_4_(H_2_O,OH,Cl)_13_","","",""
"Blixite","Pb_2_ClO_2_(OH)","","",""
"Blossite","Cu_2_V^5+^_2_O_7_","","",""
"Bobfergusonite","Na_2_Mn^2+^_5_Fe^3+^Al(PO_4_)_6_","","",""
"Bobierrite","Mg_3_(PO_4_)_2_·8H_2_O","","",""
"Bobjonesite","V^4+^OSO_4_·3H_2_O","","",""
"Bobkingite","Cu_5_Cl_2_(OH)_8_·2H_2_O","","",""
"Bobtraillite","(Na,Ca)_13_Sr_11_(Zr,Y,Nb)_14_Si_42_B_6_O_132_(OH)_12_·12H_2_O","","",""
"Bohmite","AlO(OH)","","",""
"Bogdanovite","(Au,Te,Pb)_3_(Cu,Fe)","","",""
"Boggildite","Na_2_Sr_2_Al_2_(PO_4_)F_9_","","",""
"Boggsite","Na_3_Ca_8_(Si_77_Al_19_)O_192_·70H_2_O","","",""
"Bogvadite","Na_2_Ba_2_SrAl_4_F_20_","","",""
"Bohdanowiczite","AgBiSe_2_","","",""
"Bokite","(Al,Fe,K)_1.3_(V^5+^,V^4+^,Fe^3+^)_8_O_20_·7.5H_2_O","","",""
